source,url,publication_date,title,sentence,is_relevant,label_content,pred_content,conf_content,pred_semantic,conf_semantic,pred_final,conf_final,fusion_rule,month
The Observer,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/,2016-11-30,Otunnu family seeks Shs 2bn from Museveni,The family of former UPC leader Olara Otunnu has appealed to President Museveni to help them get compensation for property lost during the insurgency that followed his government’s rise to power.,True,land_row_dispute,land_row_dispute,0.319776378101397,land_row_dispute,0.22178256511688232,land_row_dispute,0.6353897358045698,agree,2016-11
The Observer,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/,2016-11-30,Otunnu family seeks Shs 2bn from Museveni,"Kamukama told us last week that Ogenga should utilise the ongoing government compensation programme targeting people who lost property during the LRA insurgency in northern Uganda and other parts of the country. “If his claims have been verified, I advise him to contact the ministry of Justice and Constitutional Affairs which is handling the process to know his fate,” she said.",True,land_row_dispute,land_row_dispute,0.4103372004561745,land_row_dispute,0.3124963045120239,land_row_dispute,0.6807083762420496,agree,2016-11
The Observer,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/,2016-11-30,Otunnu family seeks Shs 2bn from Museveni,"According to the letter, the family wants Shs 1 billion as compensation for four buses that were lost during the insurgency.",True,land_row_dispute,land_row_dispute,0.3896811433928286,land_row_dispute,0.2094394564628601,land_row_dispute,0.6497801499639222,agree,2016-11
The Observer,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/,2016-11-30,Otunnu family seeks Shs 2bn from Museveni,"There is also a Mercedes Benz estimated at Shs 200 million, which he says was forcefully stolen by an NRA officer in Gulu. “Many people can verify the claim because my parents drove the car [Benz] for nearly two years in Gulu and Kitgum [districts],” he notes.",True,,land_row_dispute,0.1772105029943114,land_row_dispute,0.15019965171813965,land_row_dispute,0.5818525386781128,agree,2016-11
The Observer,https://observer.ug/news/otunnu-family-seeks-shs-2bn-from-museveni/,2016-11-30,Otunnu family seeks Shs 2bn from Museveni,"In the telephone interview, Ogenga said he had not wanted to make the matter public but after years of unsuccessfully trying to seek compensation as well as audience with the president, he decided to come out. “I want a negotiated agreement.",True,land_row_dispute,land_row_dispute,0.2721022354685793,procurement_irregularity,0.30119243264198303,land_row_dispute,0.5,content_preferred,2016-11
The Observer,https://observer.ug/news/museveni-akena-killing-upc-bossa/,2016-12-19,"Museveni, Akena killing UPC – Bossa",They wrote saying that because the leadership of the party was in dispute; it [bank] had decided to freeze the party’s account.,True,,delay_time_overrun,0.30314363977149517,contract_management_failure,0.3088497519493103,delay_time_overrun,0.5,content_preferred,2016-12
The Observer,https://observer.ug/news/museveni-akena-killing-upc-bossa/,2016-12-19,"Museveni, Akena killing UPC – Bossa",I went to court to dispute Akena’s presidency and not to block the accounts.,True,,land_row_dispute,0.22843018632439233,contract_management_failure,0.22203975915908813,land_row_dispute,0.5,content_preferred,2016-12
The Observer,https://observer.ug/news/kasese-religious-leaders-call-for-end-to-the-bloodshed/,2016-11-30,Kasese: Religious leaders call for end to the bloodshed,"Speaking at a press conference on Monday, Joshua Kitakule, the IRCU secretary general, blamed the conflict on lack of implementation of government programmes and high poverty rates in the region.",True,,land_row_dispute,0.2876847628063537,governance_oversight_failure,0.36681246757507324,land_row_dispute,0.5,content_preferred,2016-11
The Observer,https://observer.ug/news/hundreds-demonstrate-against-mps-tax-exemption/,2016-12-08,Hundreds demonstrate against MPs tax exemption,Over 500 citizens and activists from different parts of the country assembled at Railway headquarters grounds and matched to UMA show grounds in Lugogo from where they read a statement to the president asking him to stop the ‘greed’ exhibited by Ugandan legislators.,True,,quality_technical_defect,0.25747886223778693,land_row_dispute,0.24359744787216187,quality_technical_defect,0.5,content_preferred,2016-12
The Observer,https://observer.ug/news/go-slow-on-palace-redevelopment-mayiga-told/,2016-12-16,"Go slow on palace redevelopment, Mayiga told","Critics claim Mayiga’s plan is inconsistent with Buganda’s tradition of consultation before any major project is undertaken. “The biggest problem with institutions like Buganda kingdom is that it has so many stakeholders with divergent views and elongated cultural norms which must be safeguarded,” Mukono Municipality MP Betty Nambooze Bakireke wrote in an open letter to Mayiga – suggesting that Mayiga had only consulted a few businessmen.",True,,land_row_dispute,0.15760452331315383,governance_oversight_failure,0.2291639745235443,land_row_dispute,0.5,content_preferred,2016-12
